mmdd,prophecy,data_notes,style
03-19,Heat will be demanded and denied in equal measure as the reservoirs shall run cold and still.,"• Number of heat and hot water complaints to 311: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",poetic
03-20,"Dogs make their feelings known physically and yet the reservoirs run cold, as if to make a point. You have been warned.","• Number of dog bite incidents reported to DOHMH: Very High
• Daily median water temperature (°C) across NYC DEP watershed reservoirs: Very Low",irreverent
03-20,Something feral shall break through the ordinary though the city will hold its breath.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
03-21,The walls boil with something to say meanwhile an unusual quiet descends on the streets.,"• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",irreverent
03-21,"On this day, the walls shall cry out for warmth yet a rare quiet shall settle over the pavement. Heed it.","• Number of heat and hot water complaints to 311: Very High
• Number of street and sidewalk noise complaints to 311: Very Low",poetic
03-22,Warmth is not given freely while the bureaucracy rests. Or don't.,"• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
03-22,"Before it ends, warmth will be sought across many thresholds and still the city will be asked for very little today. Heed it.","• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
03-23,The radiators groan their usual complaints yet the waiting rooms wait alone.,"• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
03-23,"Before it ends, the cold shall press inward and be answered though the city will be asked for very little today.","• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
03-24,"Mark it: the radiators groan their usual complaints while the shelter system breathes easy, briefly. Plan around it.","• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
03-24,"When the time comes, warmth will be sought across many thresholds and still the city will be asked for very little today. So it shall be.","• Number of heat and hot water complaints to 311: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",poetic
03-25,Be advised: the gutters speak meanwhile the cops are looking elsewhere.,"• Number of unsanitary condition complaints to 311: High
• Number of NYPD arrests: Very Low",irreverent
03-25,"In the hours ahead, the streets will carry what they always carry though justice will pass through like a shadow.","• Number of unsanitary condition complaints to 311: High
• Number of NYPD arrests: Very Low",poetic
03-26,Know this: the reservoir teems with tiny intentions and yet the dogs observe without incident. You have been warned.,"• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
03-26,"The reservoir will teem with what cannot be seen as the reservoir shall hold a perfect, quiet balance. So it shall be.","• Daily median total plankton (ASU/mL) across NYC DEP watershed reservoirs: Very High
• Daily median pH (SU) across NYC DEP watershed reservoirs: Very Low",poetic
03-27,The handcuffs find their purpose and yet teeth make no commitments today.,"• Number of NYPD arrests: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",irreverent
03-27,The ground itself shall register its complaint and yet no fang shall find purchase today.,"• Number of street condition complaints to 311: Very High
• Number of dog bite incidents reported to DOHMH: Very Low",poetic
03-28,Mark it: the pavement cracks under the weight of its own feelings while the harbor sees little traffic. Take note.,"• Number of street condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",irreverent
03-28,The ground itself shall register its complaint though the harbor will lie still and patient. Heed it.,"• Number of street condition complaints to 311: Very High
• Number of NYC Ferry boardings: Very Low",poetic
03-29,Know this: dogs act with tremendous conviction though warmth is not given freely.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: High",irreverent
03-29,Teeth shall find their mark before the day ends though the cold shall press inward and be answered.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of heat and hot water complaints to 311: High",poetic
03-30,"Mark it: teeth find purpose today at the same time something has been cleaned up, for now. Take note.","• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low",irreverent
03-30,Something feral shall break through the ordinary as what gathers in shadows shall remain there today. So it shall be.,"• Number of dog bite incidents reported to DOHMH: Very High
• Number of unsanitary condition complaints to 311: Very Low",poetic
03-31,"On this day, the ferries run full and yet the shelter system breathes easy, briefly. Proceed accordingly.","• Number of NYC Ferry boardings: High
• Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low",irreverent
