prophecy_index,mmdd,prophecy,data_notes
165,02-24,"Where the earth will behave impeccably and give nothing away, there too something familiar will bite without apology.",Number of street condition complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: Very High
166,02-25,"The rootless will thin to near nothing, and yet sound will withdraw so entirely as to become suspicious.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low
167,02-25,"The unclean will clean itself, briefly, even while the world will fall quiet in a way that feels like a question.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of unsanitary condition complaints to 311: Very Low
168,02-25,"The tame will remain tame, against all precedent, even while decay will agree to stay hidden.",Number of unsanitary condition complaints to 311: Very Low | Number of dog bite incidents reported to DOHMH: Very Low
169,02-26,It will be a time when shelter will have found most of its seekers — and when a hush will settle where it is not welcome.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low
170,02-26,"What usually shouts will only stare, and yet the ground itself will rebel.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Very High
171,02-26,What comes: the ground itself will rebel. What follows: affection will bare its fangs before the day is done.,Number of street condition complaints to 311: Very High | Number of dog bite incidents reported to DOHMH: Very High
172,02-27,"The signs agree: the streets will go uncannily still, and the ground itself will rebel.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Very High
173,02-27,"Mark it well: the ground will rise in its complaints and they will be many, even as decay will be assertive.",Number of street condition complaints to 311: Very High | Number of unsanitary condition complaints to 311: High
174,02-27,What festers will speak up a little. And beyond that: the water passage will be underused.,Number of unsanitary condition complaints to 311: High | Number of NYC Ferry boardings: Low
175,02-28,It will be a time when the displaced will dwindle — and when silence will press its ear against the pavement.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low
176,02-28,"As sound will withdraw so entirely as to become suspicious, so too the pavement will have opinions and express them underfoot.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Very High
177,02-28,"The crossing will go mostly unattempted, even while the road will speak through its fractures.",Number of street condition complaints to 311: Very High | Number of NYC Ferry boardings: Very Low
178,02-29,The wandering will be few; even the wind will lower its voice.,Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of noise (street/sidewalk) complaints to 311: Very Low
179,02-29,"The signs agree: silence will press its ear against the pavement, and what lies just beneath the surface will make itself known.",Number of noise (street/sidewalk) complaints to 311: Very Low | Number of street condition complaints to 311: Very High
180,02-29,It will be a time when the road will be honest about its grievances — and when the walls will hold onto their heat like a secret.,Number of street condition complaints to 311: Very High | Number of heat/hot water complaints to 311: High
181,03-01,"Those without harbor will be rare, and yet what moves unseen in the walls will have its season.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of rodent inspections conducted by NYC: Very High
182,03-01,Something persistent and small will outnumber everything visible; those who bite will choose restraint.,Number of rodent inspections conducted by NYC: Very High | Number of dog bite incidents reported to DOHMH: Very Low
183,03-01,"The tame will remain tame, against all precedent; the walls will hold onto their heat like a secret.",Number of dog bite incidents reported to DOHMH: Very Low | Number of heat/hot water complaints to 311: High
184,03-02,"Where those without harbor will be rare, there too decay will agree to stay hidden.",Number of 311 service requests handled by the Department of Homeless Services (DHS): Very Low | Number of unsanitary condition complaints to 311: Very Low
185,03-02,"Where decay will remain underground where it belongs, there too the gnawing will cease, or near enough.",Number of unsanitary condition complaints to 311: Very Low | Number of rodent inspections conducted by NYC: Very Low
186,03-02,"The signs agree: what usually moves unseen will take its leave, and the crossing will be empty of purpose.",Number of rodent inspections conducted by NYC: Very Low | Number of NYC Ferry boardings: Very Low
187,03-03,"Where voices will compound until meaning dissolves into volume, there too freedom will be had without effort.",Number of noise (street/sidewalk) complaints to 311: Very High | Number of NYPD arrests: Very Low
188,03-03,"Where capture will be rare, there too filth will stay where it was put.",Number of NYPD arrests: Very Low | Number of unsanitary condition complaints to 311: Very Low
189,03-03,Filth will stay where it was put. And beyond that: the displaced will diminish somewhat.,Number of unsanitary condition complaints to 311: Very Low | Number of 311 service requests handled by the Department of Homeless Services (DHS): Low
